fighter_url,first_name,last_name,nickname,stance,wins,losses,draws,slpm,sapm,td_avg,sub_avg,full_name,height_inches,reach_inches,weight_lbs,total_fights,win_pct,str_acc_career,str_def_career,td_acc_career,td_def_career,dob_parsed
http://www.ufcstats.com/fighter-details/33df417d0017eb0c,Kaleio,Romero,KO,Switch,6,2,0,2.6,3.27,1.0,1.0,Kaleio Romero,70.0,69.0,145.0,8,0.75,0.48,0.5,0.08,,1996-04-19
http://www.ufcstats.com/fighter-details/15ea371202eb25e1,Roberto,Romero,El Charro Negro,Orthodox,8,5,1,4.56,6.44,0.0,0.0,Roberto Romero,68.0,70.0,145.0,14,0.5714285714285714,0.49,0.44,,0.71,2000-01-30
http://www.ufcstats.com/fighter-details/82cbb809d5ee565c,Mara,Romero Borella,,Orthodox,12,9,0,2.54,2.48,1.83,0.2,Mara Romero Borella,66.0,69.0,125.0,21,0.5714285714285714,0.37,0.71,0.44,0.66,1986-06-03
http://www.ufcstats.com/fighter-details/8173f134396cb971,Cortavious,Romious,,Southpaw,9,4,0,1.91,3.46,2.29,0.8,Cortavious Romious,64.0,68.0,135.0,13,0.6923076923076923,0.38,0.39,0.66,0.64,1994-01-06
http://www.ufcstats.com/fighter-details/4a043165cf47cab2,Juancamilo,Ronderos,100,Southpaw,4,2,0,2.18,2.18,2.72,0.0,Juancamilo Ronderos,63.0,64.0,125.0,6,0.6666666666666666,0.3,0.63,0.33,,1995-02-17
http://www.ufcstats.com/fighter-details/a13d755965a4ec9f,,Rongzhu,,Orthodox,27,6,0,6.02,5.44,1.35,0.1,Rongzhu,69.0,71.0,155.0,33,0.8181818181818182,0.51,0.52,0.62,0.84,2000-03-07
http://www.ufcstats.com/fighter-details/5580771f383e141f,Jesse,Ronson,The Body Snatcher,Southpaw,21,12,0,3.54,3.39,0.46,0.5,Jesse Ronson,70.0,70.0,155.0,33,0.6363636363636364,0.47,0.57,0.28,0.57,1985-12-24
http://www.ufcstats.com/fighter-details/3c0437fbeda06962,George,Roop,,Orthodox,15,13,1,3.43,2.47,1.05,0.1,George Roop,73.0,72.0,135.0,29,0.5172413793103449,0.34,0.6,0.57,0.59,1981-11-10
http://www.ufcstats.com/fighter-details/0f6528b461e47462,Joao,Roque,,Orthodox,7,2,4,0.0,0.0,0.0,0.0,Joao Roque,66.0,,155.0,13,0.5384615384615384,,,,,1971-07-22
http://www.ufcstats.com/fighter-details/11f8860028b68fcf,Aaron,Rosa,,Orthodox,18,6,0,4.03,4.41,0.36,0.4,Aaron Rosa,76.0,77.0,205.0,24,0.75,0.47,0.45,0.33,0.85,1983-05-28
http://www.ufcstats.com/fighter-details/40093d1d2d78394e,Charles,Rosa,Boston Strong,Switch,14,8,0,3.08,3.86,1.67,1.0,Charles Rosa,69.0,69.0,145.0,22,0.6363636363636364,0.36,0.47,0.35,0.38,1986-08-24
http://www.ufcstats.com/fighter-details/351c4ec637380ad5,Karol,Rosa,,Orthodox,19,7,0,5.88,4.59,1.17,0.2,Karol Rosa,65.0,67.0,135.0,26,0.7307692307692307,0.56,0.49,0.48,0.7,1994-12-30
http://www.ufcstats.com/fighter-details/f7faf5b19e0dec2e,Jacob,Rosales,The Lil Badger,Orthodox,13,7,0,7.19,10.66,1.12,0.6,Jacob Rosales,71.0,74.0,155.0,20,0.65,0.46,0.44,0.18,0.5,1995-07-28
http://www.ufcstats.com/fighter-details/fe2babf95de24fb1,Raul,Rosas Jr.,El Nino Problema,Switch,12,1,0,1.34,1.24,6.1,0.9,Raul Rosas Jr.,69.0,67.0,135.0,13,0.9230769230769231,0.42,0.52,0.54,0.25,2004-10-08
http://www.ufcstats.com/fighter-details/b9163ec845c3bfc8,Hilarie,Rose,,Orthodox,4,2,0,2.33,6.13,0.0,0.0,Hilarie Rose,63.0,63.0,115.0,6,0.6666666666666666,0.33,0.44,,1.0,1992-11-11
