event_name,event_url,event_date,location
UFC Fight Night: Thompson vs. Holland,http://www.ufcstats.com/event-details/b23388ff8ac6637b,"Orlando, Florida, USA",
UFC Fight Night: Nzechukwu vs. Cutelaba,http://www.ufcstats.com/event-details/012fc7cd0779c09a,"Las Vegas, Nevada, USA",
UFC 281: Adesanya vs. Pereira,http://www.ufcstats.com/event-details/b3b6e80b7d5f8f0d,"New York City, New York, USA",
UFC Fight Night: Rodriguez vs. Lemos,http://www.ufcstats.com/event-details/756f45905fb20cb5,"Las Vegas, Nevada, USA",
UFC Fight Night: Kattar vs. Allen,http://www.ufcstats.com/event-details/be5aab761c40ef35,"Las Vegas, Nevada, USA",
UFC 280: Oliveira vs. Makhachev,http://www.ufcstats.com/event-details/885e7f70dcac0007,"Abu Dhabi, Abu Dhabi, United Arab Emirates",
UFC Fight Night: Grasso vs. Araujo,http://www.ufcstats.com/event-details/49c29e57d4e2be6f,"Las Vegas, Nevada, USA",
UFC Fight Night: Dern vs. Yan,http://www.ufcstats.com/event-details/4f670b7972fa0a2e,"Las Vegas, Nevada, USA",
UFC Fight Night: Sandhagen vs. Song,http://www.ufcstats.com/event-details/8d477c3fbe001f9d,"Las Vegas, Nevada, USA",
UFC 279: Diaz vs. Ferguson,http://www.ufcstats.com/event-details/93bf96be327fcd98,"Las Vegas, Nevada, USA",
UFC Fight Night: Gane vs. Tuivasa,http://www.ufcstats.com/event-details/00a905a4a4a2b071,"Paris, Ile-de-France, France",
UFC 278: Usman vs. Edwards,http://www.ufcstats.com/event-details/4f853e98886283cf,"Salt Lake City, Utah, USA",
UFC Fight Night: Vera vs. Cruz,http://www.ufcstats.com/event-details/a23e63184c65f5b8,"San Diego, California, USA",
UFC Fight Night: Santos vs. Hill,http://www.ufcstats.com/event-details/8f6a18831a120817,"Las Vegas, Nevada, USA",
UFC 277: Pena vs. Nunes 2,http://www.ufcstats.com/event-details/b0a6124751a56bc4,"Dallas, Texas, USA",
