number,value,datetime_start,datetime_complete,duration,params_auto_class_weights,params_bagging_temperature,params_border_count,params_depth,params_l2_leaf_reg,params_learning_rate,params_min_data_in_leaf,params_random_strength,params_subsample,user_attrs_avg_best_iteration,user_attrs_cv_accuracy,user_attrs_cv_logloss,user_attrs_fold_accs,user_attrs_fold_lls,state,model,cv_accuracy,cv_logloss,avg_best_iteration
20,0.5733315373028289,2026-04-14 23:23:16.684926,2026-04-14 23:23:28.423444,0 days 00:00:11.738518,,2.9724886987012917,130,5,1.4229022620494547,0.0724875590194137,26,1.2003924643686859,0.6079449028649575,135.8,0.7042452830188679,0.5733315373028289,"[0.6415094339622641, 0.6992924528301887, 0.7016509433962265, 0.7299528301886793, 0.7488207547169812]","[0.6303550754464097, 0.5869425041366164, 0.5783139837301781, 0.5389076503035207, 0.5321384728974196]",COMPLETE,cat,0.7042452830188679,0.5733315373028289,135.8
21,0.570218799062348,2026-04-14 23:23:28.436962,2026-04-14 23:23:43.925794,0 days 00:00:15.488832,,1.9230934369435202,188,4,9.137596177655865,0.05837598566557314,21,3.1221243926567985,0.6242933866914708,233.6,0.7040094339622642,0.570218799062348,"[0.6450471698113207, 0.6933962264150944, 0.6981132075471698, 0.7488207547169812, 0.7346698113207547]","[0.6323821942465149, 0.586052324624029, 0.5789048021495871, 0.5218854627871027, 0.5318692115045063]",COMPLETE,cat,0.7040094339622642,0.570218799062348,233.6
22,0.5691765308384127,2026-04-14 23:23:43.941257,2026-04-14 23:24:00.293270,0 days 00:00:16.352013,,4.305812897421664,192,3,3.8319392767270144,0.040173260200941426,18,3.089160846941545,0.6905075214505807,359.6,0.7056603773584905,0.5691765308384127,"[0.6356132075471698, 0.6969339622641509, 0.7087264150943396, 0.7476415094339622, 0.7393867924528302]","[0.6256639022951929, 0.5869884581164209, 0.5746721745957646, 0.5256412160150551, 0.5329169031696301]",COMPLETE,cat,0.7056603773584905,0.5691765308384127,359.6
23,0.5718982203866962,2026-04-14 23:24:00.337424,2026-04-14 23:24:27.373080,0 days 00:00:27.035656,,3.251812139410542,169,4,9.935138101942607,0.030962761547005387,10,3.9379496133278376,0.534876837445346,448.6,0.7011792452830188,0.5718982203866962,"[0.6108490566037735, 0.7004716981132075, 0.7063679245283019, 0.7547169811320755, 0.7334905660377359]","[0.6483939272663777, 0.580064996595676, 0.5746505401484779, 0.5240364688872099, 0.5323451690357397]",COMPLETE,cat,0.7011792452830188,0.5718982203866962,448.6
24,0.567226962603193,2026-04-14 23:24:27.386939,2026-04-14 23:24:36.671163,0 days 00:00:09.284224,,1.4342365536184079,218,3,4.091177301917972,0.059096853893279386,23,0.15810827673846006,0.7075308811431567,178.4,0.6985849056603775,0.567226962603193,"[0.6226415094339622, 0.6886792452830188, 0.6969339622641509, 0.7547169811320755, 0.7299528301886793]","[0.6206961149609184, 0.5766630047380276, 0.5781236328646309, 0.5221250935356427, 0.5385269669167458]",COMPLETE,cat,0.6985849056603775,0.567226962603193,178.4
25,0.5726988932681654,2026-04-14 23:24:36.699369,2026-04-14 23:24:42.639043,0 days 00:00:05.939674,,1.183137323632171,222,3,3.537362005314271,0.10430056694500535,24,0.4601012779936955,0.8082071658887613,95.8,0.6974056603773585,0.5726988932681654,"[0.6332547169811321, 0.6875, 0.6886792452830188, 0.7299528301886793, 0.7476415094339622]","[0.627291694630876, 0.5936800790084825, 0.5819817216861561, 0.5250144272413919, 0.5355265437739205]",COMPLETE,cat,0.6974056603773585,0.5726988932681654,95.8
26,0.6067341033936118,2026-04-14 23:24:42.656963,2026-04-14 23:24:47.330368,0 days 00:00:04.673405,Balanced,1.692063219224494,226,3,0.9764851651613752,0.06741155968879134,34,1.5780824542240182,0.7092111744661205,,,,,,PRUNED,cat,,,
27,0.6129898115249431,2026-04-14 23:24:47.344339,2026-04-14 23:25:02.540335,0 days 00:00:15.195996,,2.2305427858362727,130,6,0.40788170309688127,0.023202658431723373,7,2.2522949310650886,0.8126612428690921,,,,,,PRUNED,cat,,,
28,0.6095692392149473,2026-04-14 23:25:02.556646,2026-04-14 23:25:13.779799,0 days 00:00:11.223153,,0.7669575320784469,208,4,0.10668679546226283,0.0376205387387484,28,4.271393907501209,0.6664153361690446,,,,,,PRUNED,cat,,,
29,0.6098597822699684,2026-04-14 23:25:13.793794,2026-04-14 23:25:16.118821,0 days 00:00:02.325027,Balanced,0.10820821615356713,231,5,4.60150450596184,0.19657587241695917,7,0.009020272816696956,0.5938241184019404,,,,,,PRUNED,cat,,,
30,0.5677029791182322,2026-04-14 23:25:16.133272,2026-04-14 23:25:21.610623,0 days 00:00:05.477351,,1.9870813054124636,159,3,2.66363073287693,0.09318312031655651,12,0.11394514337903758,0.5444111699665868,106.6,0.7077830188679245,0.5677029791182322,"[0.6367924528301887, 0.7099056603773585, 0.7110849056603774, 0.75, 0.7311320754716981]","[0.6218575471974517, 0.5831861962745096, 0.5789682904771456, 0.5135659986500835, 0.540936862991971]",COMPLETE,cat,0.7077830188679245,0.5677029791182322,106.6
31,0.5691723427029735,2026-04-14 23:25:21.624183,2026-04-14 23:25:28.195149,0 days 00:00:06.570966,,2.003793323880897,168,3,2.284442382458895,0.0915349049266672,14,0.09095702639055638,0.5495672873566992,127.4,0.7033018867924529,0.5691723427029735,"[0.6344339622641509, 0.6992924528301887, 0.6957547169811321, 0.7441037735849056, 0.7429245283018868]","[0.6235394272907712, 0.582370135963491, 0.5774427903056489, 0.5294483357397382, 0.5330610242152184]",COMPLETE,cat,0.7033018867924529,0.5691723427029735,127.4
32,0.5731791130606899,2026-04-14 23:25:28.208278,2026-04-14 23:25:32.474678,0 days 00:00:04.266400,,1.4286027958640426,141,3,1.262375923099572,0.12624192289350913,11,0.6308296411009587,0.5302390434530806,83.4,0.6959905660377359,0.5731791130606899,"[0.6308962264150944, 0.6922169811320755, 0.6898584905660378, 0.7358490566037735, 0.7311320754716981]","[0.6245155299238947, 0.5879974224190914, 0.5855428475805268, 0.5355138857374766, 0.53232587964246]",COMPLETE,cat,0.6959905660377359,0.5731791130606899,83.4
33,0.5675191423344997,2026-04-14 23:25:32.489155,2026-04-14 23:25:41.866160,0 days 00:00:09.377005,,1.354127495228194,151,3,4.47116716757493,0.05931487536544247,17,0.9691030257782732,0.6467370305183838,209.4,0.7014150943396226,0.5675191423344997,"[0.6320754716981132, 0.7004716981132075, 0.6922169811320755, 0.75, 0.7323113207547169]","[0.6211104586929433, 0.5841683525845334, 0.5778931093223735, 0.5235981623606719, 0.5308256287119769]",COMPLETE,cat,0.7014150943396226,0.5675191423344997,209.4
34,0.6045312356426905,2026-04-14 23:25:41.883044,2026-04-14 23:25:43.881556,0 days 00:00:01.998512,,1.2842532834274252,158,4,5.873171520972475,0.2112690232293965,22,1.045957491909324,0.6413855680931283,,,,,,PRUNED,cat,,,
35,0.5737216377235589,2026-04-14 23:25:43.895191,2026-04-14 23:25:50.379601,0 days 00:00:06.484410,,0.726710605769029,196,3,0.006275141729005719,0.06685245712226197,18,0.29593060758639733,0.7280757308065164,,,,,,PRUNED,cat,,,
36,0.5674182552740248,2026-04-14 23:25:50.394162,2026-04-14 23:28:09.371870,0 days 00:02:18.977708,,1.986453346604069,217,7,2.576998125815286,0.01476438804061738,17,0.8181621993362141,0.6705415578485718,485.4,0.707311320754717,0.5674182552740248,"[0.6391509433962265, 0.7158018867924528, 0.6898584905660378, 0.7441037735849056, 0.7476415094339622]","[0.6247202386681031, 0.5811287740814687, 0.5779452248468233, 0.5250351484741504, 0.5282618902995785]",COMPLETE,cat,0.707311320754717,0.5674182552740248,485.4
37,0.5693070243588622,2026-04-14 23:28:09.388347,2026-04-14 23:30:39.291538,0 days 00:02:29.903191,,1.616904419437957,251,7,2.449640394965481,0.014474943131791696,17,0.6797568302967993,0.6639230138511327,417.0,0.7054245283018867,0.5693070243588622,"[0.6474056603773585, 0.7028301886792453, 0.6898584905660378, 0.7429245283018868, 0.7441037735849056]","[0.6173104102988123, 0.5885190829291984, 0.5792416689126229, 0.5308045575637821, 0.5306594020898954]",COMPLETE,cat,0.7054245283018867,0.5693070243588622,417.0
38,0.6123869595681753,2026-04-14 23:30:39.306634,2026-04-14 23:30:47.597256,0 days 00:00:08.290622,Balanced,1.0064724365568747,215,7,0.5018941504361973,0.09853528709494475,8,1.2383467601920086,0.7186433152791114,,,,,,PRUNED,cat,,,
39,0.5666859086144906,2026-04-14 23:30:47.614908,2026-04-14 23:33:03.767715,0 days 00:02:16.152807,,0.4467679389218091,66,8,2.857715993522319,0.01074930901631478,5,0.8979315902161913,0.680716141435093,644.4,0.7056603773584905,0.5666859086144906,"[0.6367924528301887, 0.6992924528301887, 0.7051886792452831, 0.7441037735849056, 0.7429245283018868]","[0.6170880579044217, 0.5862681997736202, 0.5788718500448498, 0.5183114921079636, 0.5328899432415979]",COMPLETE,cat,0.7056603773584905,0.5666859086144906,644.4
