event_name,event_url,event_date,location,event_date_parsed
UFC Fight Night: Yan vs. Dvalishvili,http://www.ufcstats.com/event-details/35080a7f406f9ab3,2023-03-11,"Las Vegas, Nevada, USA",2023-03-11
UFC 285: Jones vs. Gane,http://www.ufcstats.com/event-details/1ccff7f0cfdf85eb,2023-03-04,"Las Vegas, Nevada, USA",2023-03-04
UFC Fight Night: Muniz vs. Allen,http://www.ufcstats.com/event-details/806975e1b4f47b27,2023-02-25,"Las Vegas, Nevada, USA",2023-02-25
UFC Fight Night: Andrade vs. Blanchfield,http://www.ufcstats.com/event-details/f21a3d68fb9df387,2023-02-18,"Las Vegas, Nevada, USA",2023-02-18
UFC 284: Makhachev vs. Volkanovski,http://www.ufcstats.com/event-details/01dd4cdc2446f665,2023-02-11,"Perth, Western Australia, Australia",2023-02-11
UFC Fight Night: Lewis vs. Spivac,http://www.ufcstats.com/event-details/d26394fc0e8e880a,2023-02-04,"Las Vegas, Nevada, USA",2023-02-04
UFC 283: Teixeira vs. Hill,http://www.ufcstats.com/event-details/5717efc6f271cd52,2023-01-21,"Rio de Janeiro, Rio de Janeiro, Brazil",2023-01-21
UFC Fight Night: Strickland vs. Imavov,http://www.ufcstats.com/event-details/2e2cdb6e9eb84bb9,2023-01-14,"Las Vegas, Nevada, USA",2023-01-14
UFC Fight Night: Cannonier vs. Strickland,http://www.ufcstats.com/event-details/56ec58954158966a,2022-12-17,"Las Vegas, Nevada, USA",2022-12-17
UFC 282: Blachowicz vs. Ankalaev,http://www.ufcstats.com/event-details/f65a0eb902f9476b,2022-12-10,"Las Vegas, Nevada, USA",2022-12-10
UFC Fight Night: Thompson vs. Holland,http://www.ufcstats.com/event-details/b23388ff8ac6637b,2022-12-03,"Orlando, Florida, USA",2022-12-03
UFC Fight Night: Nzechukwu vs. Cutelaba,http://www.ufcstats.com/event-details/012fc7cd0779c09a,2022-11-19,"Las Vegas, Nevada, USA",2022-11-19
UFC 281: Adesanya vs. Pereira,http://www.ufcstats.com/event-details/b3b6e80b7d5f8f0d,2022-11-12,"New York City, New York, USA",2022-11-12
UFC Fight Night: Rodriguez vs. Lemos,http://www.ufcstats.com/event-details/756f45905fb20cb5,2022-11-05,"Las Vegas, Nevada, USA",2022-11-05
UFC Fight Night: Kattar vs. Allen,http://www.ufcstats.com/event-details/be5aab761c40ef35,2022-10-29,"Las Vegas, Nevada, USA",2022-10-29
UFC 280: Oliveira vs. Makhachev,http://www.ufcstats.com/event-details/885e7f70dcac0007,2022-10-22,"Abu Dhabi, Abu Dhabi, United Arab Emirates",2022-10-22
UFC Fight Night: Grasso vs. Araujo,http://www.ufcstats.com/event-details/49c29e57d4e2be6f,2022-10-15,"Las Vegas, Nevada, USA",2022-10-15
UFC Fight Night: Dern vs. Yan,http://www.ufcstats.com/event-details/4f670b7972fa0a2e,2022-10-01,"Las Vegas, Nevada, USA",2022-10-01
UFC Fight Night: Sandhagen vs. Song,http://www.ufcstats.com/event-details/8d477c3fbe001f9d,2022-09-17,"Las Vegas, Nevada, USA",2022-09-17
UFC 279: Diaz vs. Ferguson,http://www.ufcstats.com/event-details/93bf96be327fcd98,2022-09-10,"Las Vegas, Nevada, USA",2022-09-10
UFC Fight Night: Gane vs. Tuivasa,http://www.ufcstats.com/event-details/00a905a4a4a2b071,2022-09-03,"Paris, Ile-de-France, France",2022-09-03
UFC 278: Usman vs. Edwards,http://www.ufcstats.com/event-details/4f853e98886283cf,2022-08-20,"Salt Lake City, Utah, USA",2022-08-20
UFC Fight Night: Vera vs. Cruz,http://www.ufcstats.com/event-details/a23e63184c65f5b8,2022-08-13,"San Diego, California, USA",2022-08-13
UFC Fight Night: Santos vs. Hill,http://www.ufcstats.com/event-details/8f6a18831a120817,2022-08-06,"Las Vegas, Nevada, USA",2022-08-06
UFC 277: Pena vs. Nunes 2,http://www.ufcstats.com/event-details/b0a6124751a56bc4,2022-07-30,"Dallas, Texas, USA",2022-07-30
UFC Fight Night: Blaydes vs. Aspinall,http://www.ufcstats.com/event-details/319c15b8aac5bfde,2022-07-23,"London, England, United Kingdom",2022-07-23
UFC Fight Night: Ortega vs. Rodriguez,http://www.ufcstats.com/event-details/8fd76e1b49c00ae2,2022-07-16,"Elmont, New York, USA",2022-07-16
UFC Fight Night: Dos Anjos vs. Fiziev,http://www.ufcstats.com/event-details/31da66df48c0c1a0,2022-07-09,"Las Vegas, Nevada, USA",2022-07-09
UFC 276: Adesanya vs. Cannonier,http://www.ufcstats.com/event-details/4a9e305633f3ef47,2022-07-02,"Las Vegas, Nevada, USA",2022-07-02
UFC Fight Night: Tsarukyan vs. Gamrot,http://www.ufcstats.com/event-details/eb42d4febfafefd1,2022-06-25,"Las Vegas, Nevada, USA",2022-06-25
