event_name,event_date,fight_url,fighter_1,fighter_2,winner,f1_kd,f2_kd,f1_str,f2_str,f1_td,f2_td,f1_sub,f2_sub,weight_class,method,round,time
UFC 324: Gaethje vs. Pimblett,"January 24, 2026",http://www.ufcstats.com/fight-details/836a188a90e479a5,Arnold Allen,Jean Silva,Jean Silva,0,0,56,74,0,4,0,0,Featherweight,U-DEC,3,5:00
UFC 324: Gaethje vs. Pimblett,"January 24, 2026",http://www.ufcstats.com/fight-details/6c9f4799990c3c33,Umar Nurmagomedov,Deiveson Figueiredo,Umar Nurmagomedov,0,0,34,8,2,0,0,0,Bantamweight,U-DEC,3,5:00
UFC 324: Gaethje vs. Pimblett,"January 24, 2026",http://www.ufcstats.com/fight-details/33be2456161c14c3,Ateba Gautier,Andrey Pulyaev,Ateba Gautier,2,0,34,59,0,0,0,0,Middleweight,U-DEC,3,5:00
UFC 324: Gaethje vs. Pimblett,"January 24, 2026",http://www.ufcstats.com/fight-details/780cab0cd07589e4,Nikita Krylov,Modestas Bukauskas,Nikita Krylov,1,0,72,40,1,0,0,0,Light Heavyweight,"KO/TKO

      

        Punch",3,4:57
UFC 324: Gaethje vs. Pimblett,"January 24, 2026",http://www.ufcstats.com/fight-details/b5aafe149bec4306,Alex Perez,Charles Johnson,Alex Perez,2,0,39,8,0,0,0,0,Flyweight,"KO/TKO

      

        Punch",1,3:16
UFC 324: Gaethje vs. Pimblett,"January 24, 2026",http://www.ufcstats.com/fight-details/abfb3ed6dcb0e1f0,Josh Hokit,Denzel Freeman,Josh Hokit,0,0,37,0,1,0,0,0,Heavyweight,"KO/TKO

      

        Punches",1,4:59
UFC 324: Gaethje vs. Pimblett,"January 24, 2026",http://www.ufcstats.com/fight-details/210fc45074fba464,Adam Fugitt,Ty Miller,Ty Miller,0,1,36,59,0,0,0,0,Welterweight,"KO/TKO

      

        Punches",1,4:59
UFC 325: Volkanovski vs. Lopes 2,"January 31, 2026",http://www.ufcstats.com/fight-details/b06b43670238c2d8,Alexander Volkanovski,Diego Lopes,Alexander Volkanovski,0,0,98,70,2,2,1,0,Featherweight,U-DEC,5,5:00
UFC 325: Volkanovski vs. Lopes 2,"January 31, 2026",http://www.ufcstats.com/fight-details/a7ae8f6eb5fc3a79,Dan Hooker,Benoit Saint Denis,Benoit Saint Denis,0,0,30,97,0,2,2,2,Lightweight,"KO/TKO

      

        Punches",2,4:45
UFC 325: Volkanovski vs. Lopes 2,"January 31, 2026",http://www.ufcstats.com/fight-details/57d7a683b85bb87b,Rafael Fiziev,Mauricio Ruffy,Mauricio Ruffy,0,1,36,55,0,0,0,0,Lightweight,"KO/TKO

      

        Punches",2,4:30
