number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_avg_best_iteration,user_attrs_cv_accuracy,user_attrs_cv_logloss,user_attrs_fold_accs,user_attrs_fold_lls,state,model,cv_accuracy,cv_logloss,avg_best_iteration
23,0.5691872845711764,2026-04-14 23:09:49.339521,2026-04-14 23:09:56.475364,0 days 00:00:07.135843,0.7556943815900089,0.03692570072852688,3,44,0.3209642207872215,72,0.5927693320498558,0.011247452184207455,0.5967691469766433,199.4,0.7049528301886794,0.5691872845711764,"[0.6450471698113207, 0.6957547169811321, 0.6933962264150944, 0.7476415094339622, 0.7429245283018868]","[0.6205420225850167, 0.5865674382633629, 0.5905503113457486, 0.5173741623676784, 0.5309024882940756]",COMPLETE,lgb,0.7049528301886794,0.5691872845711764,199.4
24,0.604182780754681,2026-04-14 23:09:56.490340,2026-04-14 23:09:58.029777,0 days 00:00:01.539437,0.6639388313629846,0.05479445220777591,5,45,1.4394731331591009,95,2.5606074093375435,0.004660167127284737,0.8982444017648535,,,,,,PRUNED,lgb,,,
25,0.5697955611770593,2026-04-14 23:09:58.050653,2026-04-14 23:10:09.789780,0 days 00:00:11.739127,0.5495261209889836,0.015463768677064973,3,29,0.24900155923167103,56,2.5047857303937104,0.0010198814974267092,0.7848382775929303,491.4,0.6992924528301886,0.5697955611770593,"[0.6367924528301887, 0.6933962264150944, 0.6839622641509434, 0.7429245283018868, 0.7393867924528302]","[0.6236438197903565, 0.5880289530793741, 0.5884538723498289, 0.5189941175388905, 0.5298570431268463]",COMPLETE,lgb,0.6992924528301886,0.5697955611770593,491.4
26,0.6029530584855444,2026-04-14 23:10:09.806960,2026-04-14 23:10:11.366727,0 days 00:00:01.559767,0.4556538307491778,0.06111430124257152,6,47,1.1411994130060081,108,0.45782396018404065,0.013043609513300155,0.6018248037355871,,,,,,PRUNED,lgb,,,
27,0.6027163868297649,2026-04-14 23:10:11.385358,2026-04-14 23:10:13.805823,0 days 00:00:02.420465,0.7972709563672722,0.036601758255074966,4,36,0.023493784117711747,91,0.10706955552172982,0.19113294499796404,0.8333540379372535,,,,,,PRUNED,lgb,,,
28,0.5807307390630165,2026-04-14 23:10:13.827773,2026-04-14 23:10:22.090519,0 days 00:00:08.262746,0.9212102664732513,0.022197973758070477,5,43,0.4495028408609574,107,4.268877560281774,0.002771817181739343,0.7040010619175212,,,,,,PRUNED,lgb,,,
29,0.6099330938213949,2026-04-14 23:10:22.134462,2026-04-14 23:10:23.769941,0 days 00:00:01.635479,0.7261266839119115,0.07247677376239008,6,17,0.82556542968046,74,0.7916974888913885,0.009073302114405067,0.8836128667246226,,,,,,PRUNED,lgb,,,
30,0.5690868226326675,2026-04-14 23:10:23.790275,2026-04-14 23:10:26.416305,0 days 00:00:02.626030,0.5804509551380831,0.11461769400683593,3,32,1.1236205170942763,79,1.7406685292207116,0.0037961523498248302,0.9427582624194197,72.8,0.6957547169811321,0.5690868226326675,"[0.6403301886792453, 0.6768867924528302, 0.6886792452830188, 0.7334905660377359, 0.7393867924528302]","[0.6177948569097068, 0.5912240328066977, 0.5904298332491921, 0.5158438456872163, 0.5301415445105241]",COMPLETE,lgb,0.6957547169811321,0.5690868226326675,72.8
31,0.602046082253664,2026-04-14 23:10:26.432663,2026-04-14 23:10:27.462414,0 days 00:00:01.029751,0.6500959527215495,0.10436863369465504,3,26,1.2182042953736172,62,1.4688292961652314,0.00340850658565715,0.9465011396890993,,,,,,PRUNED,lgb,,,
32,0.6089290956470498,2026-04-14 23:10:27.483068,2026-04-14 23:10:28.531945,0 days 00:00:01.048877,0.5793296308008435,0.24440615055467166,4,31,1.0815388618132875,78,1.909975419919733,0.005834619609767235,0.9216778057077583,,,,,,PRUNED,lgb,,,
33,0.5705905079562145,2026-04-14 23:10:28.558351,2026-04-14 23:10:40.759659,0 days 00:00:12.201308,0.48793785531961015,0.010291311098175876,3,24,1.4830195009653169,95,0.35316332361640235,0.022712408242209232,0.9907672213497579,,,,,,PRUNED,lgb,,,
34,0.6077602303925874,2026-04-14 23:10:40.787182,2026-04-14 23:10:41.884197,0 days 00:00:01.097015,0.7009203184805869,0.14561555713097762,12,47,1.0053824526419595,41,4.783118389613029,0.00228084057104334,0.8797241324150578,,,,,,PRUNED,lgb,,,
35,0.5676662566530599,2026-04-14 23:10:41.904886,2026-04-14 23:10:45.566018,0 days 00:00:03.661132,0.41736098093603985,0.048226863510288244,7,37,1.2420019769106219,53,0.8742550054208108,0.007715149423084656,0.9702213420556117,104.4,0.7014150943396226,0.5676662566530599,"[0.6391509433962265, 0.7004716981132075, 0.6745283018867925, 0.7523584905660378, 0.7405660377358491]","[0.620828408015332, 0.5894611095346736, 0.5868899950311631, 0.5128332466678307, 0.5283185240163005]",COMPLETE,lgb,0.7014150943396226,0.5676662566530599,104.4
36,0.5674669219517994,2026-04-14 23:10:45.585134,2026-04-14 23:10:52.327048,0 days 00:00:06.741914,0.3543843159754129,0.03195354115005614,7,37,1.2166414364607046,55,0.13345743142771732,0.04289080082669516,0.8152616993641162,176.6,0.7004716981132076,0.5674669219517994,"[0.6415094339622641, 0.6992924528301887, 0.6804245283018868, 0.7452830188679245, 0.7358490566037735]","[0.618617449979043, 0.5862054842590387, 0.5907903869637142, 0.5119646181102075, 0.5297566704469934]",COMPLETE,lgb,0.7004716981132076,0.5674669219517994,176.6
37,0.6037105894440457,2026-04-14 23:10:52.344237,2026-04-14 23:10:55.212226,0 days 00:00:02.867989,0.4053791451687142,0.03266785860303459,7,38,0.15867449751648988,53,0.12773688699043456,0.04160102384500815,0.7648912436803681,,,,,,PRUNED,lgb,,,
38,0.5797815888361139,2026-04-14 23:10:55.227384,2026-04-14 23:10:59.726319,0 days 00:00:04.498935,0.3355913290601247,0.023879839068296226,8,42,1.2262995820930744,36,0.04911519524619645,0.06621758459843803,0.83418525176236,,,,,,PRUNED,lgb,,,
39,0.607634649261685,2026-04-14 23:10:59.744219,2026-04-14 23:11:08.655487,0 days 00:00:08.911268,0.3533474935861392,0.01288039384995127,10,9,0.44772293329825064,57,0.031936060879368476,0.007331151372839899,0.8125288506156377,,,,,,PRUNED,lgb,,,
40,0.5798326287116096,2026-04-14 23:11:08.674506,2026-04-14 23:11:12.024165,0 days 00:00:03.349659,0.4152327424774575,0.03325709906496495,9,50,1.5262408626496387,48,0.27054486142029677,0.027226672082846095,0.6917073094062807,,,,,,PRUNED,lgb,,,
41,0.567955853668402,2026-04-14 23:11:12.036675,2026-04-14 23:11:16.224175,0 days 00:00:04.187500,0.42486096524850564,0.045960213614488085,7,35,1.2941745774673121,125,0.7803061226008231,0.01935829026994998,0.9828010976245803,107.0,0.6945754716981132,0.567955853668402,"[0.6320754716981132, 0.6945754716981132, 0.6745283018867925, 0.7417452830188679, 0.7299528301886793]","[0.6185625997116904, 0.591520255940139, 0.5907641089983692, 0.5148527133381979, 0.524079590353613]",COMPLETE,lgb,0.6945754716981132,0.567955853668402,107.0
42,0.5671759182682826,2026-04-14 23:11:16.245216,2026-04-14 23:11:20.240282,0 days 00:00:03.995066,0.37967264039520854,0.04917517788154886,7,35,1.247550345673198,125,0.8477957852028652,0.0016860556959681122,0.9968121661548539,101.4,0.7042452830188679,0.5671759182682826,"[0.6556603773584906, 0.7075471698113207, 0.6757075471698113, 0.7441037735849056, 0.7382075471698113]","[0.6157591523534288, 0.5847449708627095, 0.589764734520708, 0.5170981395978843, 0.5285125940066827]",COMPLETE,lgb,0.7042452830188679,0.5671759182682826,101.4
43,0.6022305551572227,2026-04-14 23:11:20.261460,2026-04-14 23:11:22.067856,0 days 00:00:01.806396,0.44154863240495534,0.05062165327281658,7,35,1.2636685446203348,125,0.6824378022783126,0.001403583952064398,0.9655789338036684,,,,,,PRUNED,lgb,,,
44,0.6026938485697606,2026-04-14 23:11:22.081562,2026-04-14 23:11:23.347510,0 days 00:00:01.265948,0.3905613820194915,0.06579182199905624,8,40,1.5696111514056181,120,0.01674712717563455,0.0023356895569119746,0.9972851765970419,,,,,,PRUNED,lgb,,,
45,0.5700273126939379,2026-04-14 23:11:23.364107,2026-04-14 23:11:31.057065,0 days 00:00:07.692958,0.34298821366694476,0.026025983974953485,8,28,1.0279384908050315,127,0.17648790690634655,0.0017752862883775582,0.9721012883208359,,,,,,PRUNED,lgb,,,
46,0.6051648510878925,2026-04-14 23:11:31.073127,2026-04-14 23:11:32.080222,0 days 00:00:01.007095,0.4898898333789855,0.08615024273993838,7,37,1.3877608268455406,114,9.681164911622878,0.004126518568857285,0.8673225088122928,,,,,,PRUNED,lgb,,,
47,0.6012519303109121,2026-04-14 23:11:32.102181,2026-04-14 23:11:34.132319,0 days 00:00:02.030138,0.4244731436142789,0.029281952643144073,6,34,1.7043045024629246,120,0.002695664734117331,0.03660411117784142,0.9990078657374311,,,,,,PRUNED,lgb,,,
48,0.5709127969031165,2026-04-14 23:11:34.160732,2026-04-14 23:11:44.547510,0 days 00:00:10.386778,0.32063635558543,0.018485163386870382,9,40,0.9265823687500812,111,0.3114862159050625,0.1367281305377465,0.9597428199640635,,,,,,PRUNED,lgb,,,
49,0.6021382201623966,2026-04-14 23:11:44.565416,2026-04-14 23:11:46.089593,0 days 00:00:01.524177,0.3702376713401308,0.04795586732689139,7,41,1.158192001216294,32,0.8829855230609821,0.015552513729427052,0.9073325906056872,,,,,,PRUNED,lgb,,,
50,0.6018904365167944,2026-04-14 23:11:46.105216,2026-04-14 23:11:47.219037,0 days 00:00:01.113821,0.5274249855929249,0.06595603075095864,6,22,1.6144171768511053,103,2.995399774749084,0.28213315233843317,0.7436661013895509,,,,,,PRUNED,lgb,,,
51,0.6025677469584548,2026-04-14 23:11:47.240484,2026-04-14 23:11:49.341895,0 days 00:00:02.101411,0.46881954511457713,0.04247391456809444,8,48,1.2397410086135254,42,0.5712707302890001,0.05816367106478599,0.7157283924780177,,,,,,PRUNED,lgb,,,
52,0.5691560171838603,2026-04-14 23:11:49.357997,2026-04-14 23:11:54.404147,0 days 00:00:05.046150,0.3938733658894214,0.035139924082290254,8,46,1.297833481395984,118,1.179509968271569,0.023639607808556114,0.7672472344859962,148.4,0.6962264150943397,0.5691560171838603,"[0.6379716981132075, 0.6922169811320755, 0.6792452830188679, 0.7464622641509434, 0.7252358490566038]","[0.6190622627804686, 0.5950497393110563, 0.5888102456488745, 0.5148173672439506, 0.5280404709349519]",COMPLETE,lgb,0.6962264150943397,0.5691560171838603,148.4
53,0.6047129038202687,2026-04-14 23:11:54.420173,2026-04-14 23:11:56.043937,0 days 00:00:01.623764,0.30298595401778555,0.05132826165912056,7,38,1.3971318243980153,67,0.010954649941752794,0.011155827438006801,0.6824924078115979,,,,,,PRUNED,lgb,,,
54,0.6041594504856062,2026-04-14 23:11:56.060139,2026-04-14 23:11:58.030222,0 days 00:00:01.970083,0.4347789388976938,0.040936322406193194,11,43,0.7608077492939078,51,0.07682000312527668,0.00852809061858152,0.6253331468953155,,,,,,PRUNED,lgb,,,
55,0.602104033405408,2026-04-14 23:11:58.061399,2026-04-14 23:12:02.339129,0 days 00:00:04.277730,0.3721768161760406,0.027645850648755094,9,30,0.15012847535778193,59,0.25801888445860743,0.003164220056749637,0.9783490303940132,,,,,,PRUNED,lgb,,,
56,0.6017544899620219,2026-04-14 23:12:02.365980,2026-04-14 23:12:04.093711,0 days 00:00:01.727731,0.34512970379508434,0.05883768142221872,6,35,0.5417021761424319,124,0.4518208041069979,0.0016097556794496901,0.6407410538659896,,,,,,PRUNED,lgb,,,
57,0.6074602588840277,2026-04-14 23:12:04.110631,2026-04-14 23:12:09.315269,0 days 00:00:05.204638,0.8590956722895361,0.02032448436196816,7,33,0.32857788165486423,111,0.16807212987636677,0.02037974101281256,0.7930521670262013,,,,,,PRUNED,lgb,,,
