number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_avg_best_iteration,user_attrs_cv_accuracy,user_attrs_cv_logloss,user_attrs_fold_accs,user_attrs_fold_lls,state,model,cv_accuracy,cv_logloss,avg_best_iteration
29,0.5626709895895499,2026-04-14 22:45:56.429643,2026-04-14 22:46:29.162274,0 days 00:00:32.732631,0.7055779850198624,4.809752147751409,0.013809645621212093,5,18,0.599402219230699,0.030805000365136084,0.6741628468600174,419.6,0.7011792452830189,0.5626709895895499,"[0.6356132075471698, 0.7004716981132075, 0.6875, 0.7382075471698113, 0.7441037735849056]","[0.6191266723091812, 0.5834049130552766, 0.5716172643275318, 0.5138224816015132, 0.5253836166542469]",COMPLETE,xgb,0.7011792452830189,0.5626709895895499,419.6
30,0.56436726244365,2026-04-14 22:46:29.196175,2026-04-14 22:47:00.237689,0 days 00:00:31.041514,0.6996928344076514,4.972074496417634,0.013445463960180955,5,19,0.7232903292367393,0.008552928414260596,0.6627210635883597,408.0,0.7028301886792453,0.56436726244365,"[0.6391509433962265, 0.6957547169811321, 0.6957547169811321, 0.7429245283018868, 0.7405660377358491]","[0.6188569199763299, 0.5853931707917076, 0.5755997921763266, 0.5149377784700432, 0.5270486508038421]",COMPLETE,xgb,0.7028301886792453,0.56436726244365,408.0
31,0.5641088209488301,2026-04-14 22:47:00.252652,2026-04-14 22:47:31.354273,0 days 00:00:31.101621,0.7190796172397161,4.163177647940099,0.014326057624783348,5,16,0.45111620543294484,0.029974127180329317,0.7384787146198859,373.8,0.6969339622641509,0.5641088209488301,"[0.6202830188679245, 0.6992924528301887, 0.6827830188679245, 0.7464622641509434, 0.7358490566037735]","[0.618789539018379, 0.5843628257764264, 0.5784232421454315, 0.514188743414988, 0.5247797543889258]",COMPLETE,xgb,0.6969339622641509,0.5641088209488301,373.8
32,0.563481451182469,2026-04-14 22:47:31.371614,2026-04-14 22:48:03.280859,0 days 00:00:31.909245,0.6402290886170292,4.467465761589042,0.013817083282700808,6,16,0.49800862944976027,0.043355974094930076,0.7364564332983328,363.2,0.7021226415094339,0.563481451182469,"[0.6332547169811321, 0.7063679245283019, 0.6898584905660378, 0.7511792452830188, 0.7299528301886793]","[0.6174094577490264, 0.58225560689619, 0.5784985393554125, 0.5132480898968127, 0.5259955620149032]",COMPLETE,xgb,0.7021226415094339,0.563481451182469,363.2
33,0.5759513292775726,2026-04-14 22:48:03.293600,2026-04-14 22:48:31.030488,0 days 00:00:27.736888,0.6477395358679179,4.622048314319628,0.011999174442928045,6,15,2.522172303866618,0.04688898186591943,0.692543657932168,,,,,,PRUNED,xgb,,,
34,0.5640035377906598,2026-04-14 22:48:31.049096,2026-04-14 22:49:02.661999,0 days 00:00:31.612903,0.641858409921951,4.7563714667838966,0.014537265048946073,7,18,0.23327925961329674,0.017534371463836334,0.6195219796948183,372.2,0.7061320754716982,0.5640035377906598,"[0.6415094339622641, 0.7004716981132075, 0.6922169811320755, 0.7558962264150944, 0.7405660377358491]","[0.618018378184913, 0.5816062438771162, 0.5785755778691467, 0.5168248951908381, 0.5249925938312852]",COMPLETE,xgb,0.7061320754716982,0.5640035377906598,372.2
35,0.5949358141627127,2026-04-14 22:49:02.675636,2026-04-14 22:49:08.919720,0 days 00:00:06.244084,0.5341862066464702,4.277861017579577,0.03277278602364058,6,12,1.2891585375199737,0.007785045534902423,0.6715622862830535,,,,,,PRUNED,xgb,,,
36,0.5959840327034122,2026-04-14 22:49:08.936475,2026-04-14 22:49:16.530503,0 days 00:00:07.594028,0.6746940323086471,4.950510898253296,0.02333758567110717,5,15,0.513556781353921,0.0041461828457024725,0.7621408045274298,,,,,,PRUNED,xgb,,,
37,0.5964645466997339,2026-04-14 22:49:16.546997,2026-04-14 22:49:31.836974,0 days 00:00:15.289977,0.7144474486560343,4.428255785276582,0.013135424033541815,6,13,4.191636477994736,0.13253869900053203,0.7223283616820514,,,,,,PRUNED,xgb,,,
38,0.5641251508605953,2026-04-14 22:49:31.875882,2026-04-14 22:50:00.235327,0 days 00:00:28.359445,0.7827540657203292,4.1201695347134475,0.016468934569860226,5,16,0.19863225141734572,0.0010248772316972675,0.7028786026592924,323.0,0.7051886792452831,0.5641251508605953,"[0.6403301886792453, 0.7075471698113207, 0.6863207547169812, 0.7558962264150944, 0.7358490566037735]","[0.6177312797274577, 0.583010763962344, 0.5772726230242482, 0.5145237676592431, 0.5280873199296838]",COMPLETE,xgb,0.7051886792452831,0.5641251508605953,323.0
39,0.5642825527252643,2026-04-14 22:50:00.256901,2026-04-14 22:50:27.695420,0 days 00:00:27.438519,0.8329175625140753,4.495694145379714,0.020707826913224783,6,19,1.0062805129244627,0.060029922991177265,0.609538448028774,295.8,0.707311320754717,0.5642825527252643,"[0.6497641509433962, 0.7063679245283019, 0.6945754716981132, 0.7464622641509434, 0.7393867924528302]","[0.6189653583870375, 0.5844749373762542, 0.5756613829544747, 0.51629003689765, 0.526021048010905]",COMPLETE,xgb,0.707311320754717,0.5642825527252643,295.8
