event_name,event_date,fight_url,fighter_1_winner,fighter_2_loser,winner_kd,loser_kd,winner_str,loser_str,winner_td,loser_td,winner_sub,loser_sub,weight_class,method,round,time
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/a22fd3735819d858,Sumudaerji,Jesus Aguilar,0,0,62,31,4,1,0,0,Flyweight,U-DEC,3,5:00
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/cc03e698c4b7da52,Diyar Nurgozhay,Rafael Tobias,0,0,94,39,0,2,0,1,Light Heavyweight,U-DEC,3,5:00
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/a5abdc461cb1538e,Rodolfo Bellato,Luke Fernandez,1,0,30,16,0,0,0,0,Light Heavyweight,"KO/TKO

      

        Punches",1,2:42
UFC 324: Gaethje vs. Pimblett,"January 24, 2026",http://www.ufcstats.com/fight-details/fa4b3f5ce8055921,Justin Gaethje,Paddy Pimblett,2,0,144,156,3,0,0,0,Lightweight,U-DEC,5,5:00
UFC 324: Gaethje vs. Pimblett,"January 24, 2026",http://www.ufcstats.com/fight-details/007e8e0d4a39d82c,Sean O'Malley,Song Yadong,0,0,48,36,0,3,0,0,Bantamweight,U-DEC,3,5:00
UFC 324: Gaethje vs. Pimblett,"January 24, 2026",http://www.ufcstats.com/fight-details/d93ee3860196c4ae,Waldo Cortes Acosta,Derrick Lewis,1,0,44,8,1,0,0,0,Heavyweight,"KO/TKO

      

        Punches",2,3:14
UFC 324: Gaethje vs. Pimblett,"January 24, 2026",http://www.ufcstats.com/fight-details/d63c9aa4f4873001,Natalia Silva,Rose Namajunas,0,0,51,26,1,1,0,0,Women's Flyweight,U-DEC,3,5:00
UFC 324: Gaethje vs. Pimblett,"January 24, 2026",http://www.ufcstats.com/fight-details/836a188a90e479a5,Jean Silva,Arnold Allen,0,0,74,56,4,0,0,0,Featherweight,U-DEC,3,5:00
UFC 324: Gaethje vs. Pimblett,"January 24, 2026",http://www.ufcstats.com/fight-details/6c9f4799990c3c33,Umar Nurmagomedov,Deiveson Figueiredo,0,0,34,8,2,0,0,0,Bantamweight,U-DEC,3,5:00
UFC 324: Gaethje vs. Pimblett,"January 24, 2026",http://www.ufcstats.com/fight-details/33be2456161c14c3,Ateba Gautier,Andrey Pulyaev,2,0,34,59,0,0,0,0,Middleweight,U-DEC,3,5:00
UFC 324: Gaethje vs. Pimblett,"January 24, 2026",http://www.ufcstats.com/fight-details/780cab0cd07589e4,Nikita Krylov,Modestas Bukauskas,1,0,72,40,1,0,0,0,Light Heavyweight,"KO/TKO

      

        Punch",3,4:57
UFC 324: Gaethje vs. Pimblett,"January 24, 2026",http://www.ufcstats.com/fight-details/b5aafe149bec4306,Alex Perez,Charles Johnson,2,0,39,8,0,0,0,0,Flyweight,"KO/TKO

      

        Punch",1,3:16
UFC 324: Gaethje vs. Pimblett,"January 24, 2026",http://www.ufcstats.com/fight-details/abfb3ed6dcb0e1f0,Josh Hokit,Denzel Freeman,0,0,37,0,1,0,0,0,Heavyweight,"KO/TKO

      

        Punches",1,4:59
UFC 324: Gaethje vs. Pimblett,"January 24, 2026",http://www.ufcstats.com/fight-details/210fc45074fba464,Ty Miller,Adam Fugitt,1,0,59,36,0,0,0,0,Welterweight,"KO/TKO

      

        Punches",1,4:59
UFC 325: Volkanovski vs. Lopes 2,"January 31, 2026",http://www.ufcstats.com/fight-details/b06b43670238c2d8,Alexander Volkanovski,Diego Lopes,0,0,98,70,2,2,1,0,Featherweight,U-DEC,5,5:00
UFC 325: Volkanovski vs. Lopes 2,"January 31, 2026",http://www.ufcstats.com/fight-details/a7ae8f6eb5fc3a79,Benoit Saint Denis,Dan Hooker,0,0,97,30,2,0,2,2,Lightweight,"KO/TKO

      

        Punches",2,4:45
UFC 325: Volkanovski vs. Lopes 2,"January 31, 2026",http://www.ufcstats.com/fight-details/57d7a683b85bb87b,Mauricio Ruffy,Rafael Fiziev,1,0,55,36,0,0,0,0,Lightweight,"KO/TKO

      

        Punches",2,4:30
UFC 325: Volkanovski vs. Lopes 2,"January 31, 2026",http://www.ufcstats.com/fight-details/67765535bd0b6bdf,Tallison Teixeira,Tai Tuivasa,0,0,51,42,3,0,0,0,Heavyweight,U-DEC,3,5:00
UFC 325: Volkanovski vs. Lopes 2,"January 31, 2026",http://www.ufcstats.com/fight-details/32e9bc4d0a19a923,Quillan Salkilld,Jamie Mullarkey,0,0,5,1,2,1,1,0,Lightweight,"SUB

      

        Neck Crank",1,3:02
UFC 325: Volkanovski vs. Lopes 2,"January 31, 2026",http://www.ufcstats.com/fight-details/d94f1b32a81e3fa1,Billy Elekana,Junior Tafa,0,1,24,38,1,0,1,0,Light Heavyweight,"SUB

      

        Rear Naked Choke",2,3:18
UFC 325: Volkanovski vs. Lopes 2,"January 31, 2026",http://www.ufcstats.com/fight-details/47362cae6ba0e077,Cam Rowston,Cody Brundage,0,0,57,29,0,0,0,0,Middleweight,"KO/TKO

      

        Punches",2,4:08
UFC 325: Volkanovski vs. Lopes 2,"January 31, 2026",http://www.ufcstats.com/fight-details/0047f8aadca1936f,Jacob Malkoun,Torrez Finney,1,0,117,27,2,0,3,0,Middleweight,U-DEC,3,5:00
UFC 325: Volkanovski vs. Lopes 2,"January 31, 2026",http://www.ufcstats.com/fight-details/78912b78aa946375,Jonathan Micallef,Oban Elliott,0,0,19,40,1,0,1,0,Welterweight,"SUB

      

        Rear Naked Choke",2,3:31
UFC 325: Volkanovski vs. Lopes 2,"January 31, 2026",http://www.ufcstats.com/fight-details/4c1e7e1765a5438a,Kaan Ofli,Yizha,0,1,48,68,0,3,0,0,Featherweight,M-DEC,3,5:00
UFC 325: Volkanovski vs. Lopes 2,"January 31, 2026",http://www.ufcstats.com/fight-details/ad14c502c9c5a7e9,Dom Mar Fan,Sangwook Kim,0,0,99,68,1,1,0,0,Lightweight,U-DEC,3,5:00
UFC 325: Volkanovski vs. Lopes 2,"January 31, 2026",http://www.ufcstats.com/fight-details/780bae82bdfc7112,Keiichiro Nakamura,Sebastian Szalay,1,0,45,79,0,1,0,0,Featherweight,"KO/TKO

      

        Knee",3,3:48
UFC 325: Volkanovski vs. Lopes 2,"January 31, 2026",http://www.ufcstats.com/fight-details/5c73e0013b859664,Lawrence Lui,Sulangrangbo,0,0,52,56,7,0,0,0,Bantamweight,S-DEC,3,5:00
UFC Fight Night: Evloev vs. Murphy,"March 21, 2026",http://www.ufcstats.com/fight-details/346e3897c2ead99a,Movsar Evloev,Lerone Murphy,0,0,86,89,9,0,0,0,Featherweight,M-DEC,5,5:00
UFC Fight Night: Evloev vs. Murphy,"March 21, 2026",http://www.ufcstats.com/fight-details/fa534aaa5b997a69,Luke Riley,Michael Aswell Jr.,0,0,100,61,0,1,0,0,Featherweight,U-DEC,3,5:00
